id_gun,stat,level,value,price,unlock
Gun01,magSize,1,8,0,TRUE
Gun01,magSize,2,15,100,FALSE
Gun01,magSize,3,20,200,FALSE
Gun01,bulletSpeed,1,3,0,TRUE
Gun01,bulletSpeed,2,4,100,FALSE
Gun01,bulletSpeed,3,5,200,FALSE
Gun01,timeReload,1,3,0,TRUE
Gun01,timeReload,2,2.5,100,FALSE
Gun01,timeReload,3,2,200,FALSE
Gun01,fireRate,1,0.5,0,TRUE
Gun01,fireRate,2,0.3,100,FALSE
Gun01,fireRate,3,0.2,200,FALSE
Gun02,magSize,1,8,0,TRUE
Gun02,magSize,2,12,100,FALSE
Gun02,magSize,3,15,200,FALSE
Gun02,bulletSpeed,1,3,0,TRUE
Gun02,bulletSpeed,2,3.5,100,FALSE
Gun02,bulletSpeed,3,4.5,200,FALSE
Gun02,timeReload,1,3,0,TRUE
Gun02,timeReload,2,2.5,100,FALSE
Gun02,timeReload,3,2,200,FALSE
Gun02,fireRate,1,0.6,0,TRUE
Gun02,fireRate,2,0.4,100,FALSE
Gun02,fireRate,3,0.3,200,FALSE
Gun03,magSize,1,10,0,TRUE
Gun03,magSize,2,15,100,FALSE
Gun03,magSize,3,20,200,FALSE
Gun03,bulletSpeed,1,5,0,TRUE
Gun03,bulletSpeed,2,6,100,FALSE
Gun03,bulletSpeed,3,7,200,FALSE
Gun03,timeReload,1,2,0,TRUE
Gun03,timeReload,2,1.5,100,FALSE
Gun03,timeReload,3,1,200,FALSE
Gun03,fireRate,1,0.3,0,TRUE
Gun03,fireRate,2,0.2,100,FALSE
Gun03,fireRate,3,0.15,200,FALSE
Gun04,magSize,1,6,0,TRUE
Gun04,magSize,2,8,100,FALSE
Gun04,magSize,3,12,200,FALSE
Gun04,bulletSpeed,1,2.5,0,TRUE
Gun04,bulletSpeed,2,3,100,FALSE
Gun04,bulletSpeed,3,3.5,200,FALSE
Gun04,timeReload,1,4,0,TRUE
Gun04,timeReload,2,3.5,100,FALSE
Gun04,timeReload,3,2.5,200,FALSE
Gun04,fireRate,1,1,0,TRUE
Gun04,fireRate,2,0.7,100,FALSE
Gun04,fireRate,3,0.5,200,FALSE
Gun05,magSize,1,8,0,TRUE
Gun05,magSize,2,12,100,FALSE
Gun05,magSize,3,15,200,FALSE
Gun05,bulletSpeed,1,3,0,TRUE
Gun05,bulletSpeed,2,3.5,100,FALSE
Gun05,bulletSpeed,3,4.5,200,FALSE
Gun05,timeReload,1,4,0,TRUE
Gun05,timeReload,2,3,100,FALSE
Gun05,timeReload,3,3.5,200,FALSE
Gun05,fireRate,1,0.6,0,TRUE
Gun05,fireRate,2,0.4,100,FALSE
Gun05,fireRate,3,0.3,200,FALSE
